,Date,Close
0,1986-12-31,900.82
1,1987-01-01,900.82
2,1987-01-02,891.78
3,1987-01-05,898.33
4,1987-01-06,902.32
5,1987-01-07,899.15
6,1987-01-08,887.37
7,1987-01-09,868.31
8,1987-01-12,879.41
9,1987-01-13,872.74
10,1987-01-14,876.39
11,1987-01-15,884.37
12,1987-01-16,883.78
13,1987-01-19,876.15
14,1987-01-20,875.1
15,1987-01-21,872.47
16,1987-01-22,876.69
17,1987-01-23,883.62
18,1987-01-26,870.96
19,1987-01-27,868.19
20,1987-01-28,838.6
21,1987-01-29,847.38
22,1987-01-30,859.08
23,1987-02-02,849.03
24,1987-02-03,839.6
25,1987-02-04,838.53
26,1987-02-05,833.03
27,1987-02-06,842.23
28,1987-02-09,844.73
29,1987-02-10,837.91
30,1987-02-11,837.56
31,1987-02-12,840.53
32,1987-02-13,841.54
33,1987-02-16,844.11
34,1987-02-17,833.81
35,1987-02-18,834.15
36,1987-02-19,844.07
37,1987-02-20,845.11
38,1987-02-23,839.36
39,1987-02-24,837.9
40,1987-02-25,833.39
41,1987-02-26,838.23
42,1987-02-27,840.97
43,1987-03-02,842.7
44,1987-03-03,836.22
45,1987-03-04,848.78
46,1987-03-05,855.04
47,1987-03-06,854.82
48,1987-03-09,856.93
49,1987-03-10,850.99
50,1987-03-11,844.78
51,1987-03-12,851.62
52,1987-03-13,855.0
53,1987-03-16,855.21
54,1987-03-17,848.47
55,1987-03-18,854.69
56,1987-03-19,842.48
57,1987-03-20,848.13
58,1987-03-23,860.44
59,1987-03-24,866.76
60,1987-03-25,868.3
61,1987-03-26,874.75
62,1987-03-27,882.89
63,1987-03-30,877.3
64,1987-03-31,869.44
65,1987-04-01,883.95
66,1987-04-02,888.39
67,1987-04-03,888.97
68,1987-04-06,900.79
69,1987-04-07,896.33
70,1987-04-08,895.42
71,1987-04-09,895.62
72,1987-04-10,884.61
73,1987-04-13,875.19
74,1987-04-14,881.0
75,1987-04-15,888.71
76,1987-04-16,895.48
77,1987-04-17,896.06
78,1987-04-20,893.33
79,1987-04-21,889.55
80,1987-04-22,900.5
81,1987-04-23,896.53
82,1987-04-24,890.62
83,1987-04-27,871.69
84,1987-04-28,879.07
85,1987-04-29,884.37
86,1987-04-30,881.46
87,1987-05-01,883.32
88,1987-05-04,880.31
89,1987-05-05,875.43
90,1987-05-06,880.91
91,1987-05-07,882.84
92,1987-05-08,882.7
93,1987-05-11,887.34
94,1987-05-12,879.78
95,1987-05-13,882.77
96,1987-05-14,883.11
97,1987-05-15,866.11
98,1987-05-18,868.85
99,1987-05-19,865.65
100,1987-05-20,856.08
101,1987-05-21,854.02
102,1987-05-22,857.63
103,1987-05-25,856.95
104,1987-05-26,864.83
105,1987-05-27,869.49
106,1987-05-28,869.29
107,1987-05-29,866.41
108,1987-06-01,872.52
109,1987-06-02,863.11
110,1987-06-03,864.57
111,1987-06-04,869.42
112,1987-06-05,864.75
113,1987-06-08,866.08
114,1987-06-09,863.17
115,1987-06-10,860.8
116,1987-06-11,868.26
117,1987-06-12,869.28
118,1987-06-15,879.82
119,1987-06-16,885.41
120,1987-06-17,885.93
121,1987-06-18,885.19
122,1987-06-19,897.16
123,1987-06-22,908.73
124,1987-06-23,915.58
125,1987-06-24,901.6
126,1987-06-25,903.66
127,1987-06-26,909.42
128,1987-06-29,909.76
129,1987-06-30,905.3
130,1987-07-01,894.32
131,1987-07-02,904.15
132,1987-07-03,917.81
133,1987-07-06,918.19
134,1987-07-07,917.15
135,1987-07-08,923.2
136,1987-07-09,920.76
137,1987-07-10,921.82
138,1987-07-13,921.73
139,1987-07-14,925.93
140,1987-07-15,928.92
141,1987-07-16,932.15
142,1987-07-17,941.03
143,1987-07-20,945.38
144,1987-07-21,941.54
145,1987-07-22,937.13
146,1987-07-23,932.12
147,1987-07-24,933.19
148,1987-07-27,936.9
149,1987-07-28,941.84
150,1987-07-29,949.38
151,1987-07-30,957.8
152,1987-07-31,955.83
153,1987-08-03,959.68
154,1987-08-04,957.2
155,1987-08-05,955.55
156,1987-08-06,961.22
157,1987-08-07,963.12
158,1987-08-10,962.46
159,1987-08-11,952.68
160,1987-08-12,961.8
161,1987-08-13,959.8
162,1987-08-14,961.79
163,1987-08-17,959.11
164,1987-08-18,949.25
165,1987-08-19,940.09
166,1987-08-20,949.22
167,1987-08-21,950.03
168,1987-08-24,941.89
169,1987-08-25,941.91
170,1987-08-26,942.2
171,1987-08-27,943.3
172,1987-08-28,947.55
173,1987-08-31,951.06
174,1987-09-01,953.63
175,1987-09-02,947.24
176,1987-09-03,939.54
177,1987-09-04,930.39
178,1987-09-07,919.53
179,1987-09-08,919.47
180,1987-09-09,919.76
181,1987-09-10,928.08
182,1987-09-11,933.42
183,1987-09-14,940.81
184,1987-09-15,936.45
185,1987-09-16,930.91
186,1987-09-17,934.09
187,1987-09-18,928.5
188,1987-09-21,927.1
189,1987-09-22,922.49
190,1987-09-23,937.85
191,1987-09-24,931.48
192,1987-09-25,928.34
193,1987-09-28,934.0
194,1987-09-29,936.2
195,1987-09-30,930.71
196,1987-10-01,938.2
197,1987-10-02,944.2
198,1987-10-05,949.42
199,1987-10-06,945.26
200,1987-10-07,935.79
201,1987-10-08,940.33
202,1987-10-09,926.63
203,1987-10-12,919.64
204,1987-10-13,921.87
205,1987-10-14,916.83
206,1987-10-15,901.83
207,1987-10-16,894.23
208,1987-10-19,823.32
209,1987-10-20,783.33
210,1987-10-21,831.37
211,1987-10-22,799.94
212,1987-10-23,788.59
213,1987-10-26,734.34
214,1987-10-27,741.49
215,1987-10-28,701.32
216,1987-10-29,691.31
217,1987-10-30,730.75
218,1987-11-02,725.43
219,1987-11-03,712.87
220,1987-11-04,689.49
221,1987-11-05,682.12
222,1987-11-06,683.04
223,1987-11-09,654.09
224,1987-11-10,615.9
225,1987-11-11,632.36
226,1987-11-12,676.32
227,1987-11-13,674.57
228,1987-11-16,694.95
229,1987-11-17,678.12
230,1987-11-18,676.37
231,1987-11-19,669.38
232,1987-11-20,653.27
233,1987-11-23,658.18
234,1987-11-24,676.14
235,1987-11-25,675.26
236,1987-11-26,671.13
237,1987-11-27,675.21
238,1987-11-30,658.03
239,1987-12-01,654.9
240,1987-12-02,655.07
241,1987-12-03,650.92
242,1987-12-04,635.83
243,1987-12-07,634.13
244,1987-12-08,638.18
245,1987-12-09,640.49
246,1987-12-10,641.11
247,1987-12-11,636.25
248,1987-12-14,639.67
249,1987-12-15,648.78
250,1987-12-16,661.4
251,1987-12-17,663.47
252,1987-12-18,658.56
253,1987-12-21,665.5
254,1987-12-22,667.53
255,1987-12-23,672.74
256,1987-12-24,671.57
257,1987-12-25,671.57
258,1987-12-28,663.68
259,1987-12-29,651.88
260,1987-12-30,656.14
261,1987-12-31,648.13
262,1988-01-01,648.32
263,1988-01-04,633.3
264,1988-01-05,658.48
265,1988-01-06,665.43
266,1988-01-07,669.13
267,1988-01-08,674.72
268,1988-01-11,650.12
269,1988-01-12,649.16
270,1988-01-13,639.19
271,1988-01-14,642.68
272,1988-01-15,645.79
273,1988-01-18,661.85
274,1988-01-19,648.62
275,1988-01-20,638.35
276,1988-01-21,633.54
277,1988-01-22,635.91
278,1988-01-25,636.19
279,1988-01-26,640.18
280,1988-01-27,637.47
281,1988-01-28,633.5
282,1988-01-29,635.95
283,1988-02-01,639.49
284,1988-02-02,638.99
285,1988-02-03,644.82
286,1988-02-04,653.51
287,1988-02-05,655.59
288,1988-02-08,660.39
289,1988-02-09,652.07
290,1988-02-10,658.26
291,1988-02-11,673.0
292,1988-02-12,678.61
293,1988-02-15,686.68
294,1988-02-16,688.36
295,1988-02-17,696.79
296,1988-02-18,697.01
297,1988-02-19,695.96
298,1988-02-22,702.05
299,1988-02-23,704.53
300,1988-02-24,707.13
301,1988-02-25,712.17
302,1988-02-26,705.06
303,1988-02-29,708.88
304,1988-03-01,715.83
305,1988-03-02,717.62
306,1988-03-03,716.51
307,1988-03-04,711.09
308,1988-03-07,700.57
309,1988-03-08,709.99
310,1988-03-09,713.48
311,1988-03-10,719.48
312,1988-03-11,713.28
313,1988-03-14,714.18
314,1988-03-15,714.82
315,1988-03-16,721.6
316,1988-03-17,706.85
317,1988-03-18,743.45
318,1988-03-21,740.41
319,1988-03-22,729.93
320,1988-03-23,731.4
321,1988-03-24,729.04
322,1988-03-25,719.87
323,1988-03-28,700.5
324,1988-03-29,706.16
325,1988-03-30,706.39
326,1988-03-31,701.56
327,1988-04-01,701.37
328,1988-04-04,699.45
329,1988-04-05,696.84
330,1988-04-06,707.35
331,1988-04-07,712.88
332,1988-04-08,712.36
333,1988-04-11,723.06
334,1988-04-12,728.31
335,1988-04-13,731.26
336,1988-04-14,725.77
337,1988-04-15,712.42
338,1988-04-18,711.6
339,1988-04-19,716.63
340,1988-04-20,711.86
341,1988-04-21,708.23
342,1988-04-22,711.58
343,1988-04-25,714.45
344,1988-04-26,716.27
345,1988-04-27,714.72
346,1988-04-28,717.48
347,1988-04-29,710.55
348,1988-05-02,709.88
349,1988-05-03,705.58
350,1988-05-04,710.63
351,1988-05-05,708.49
352,1988-05-06,707.04
353,1988-05-09,694.64
354,1988-05-10,691.69
